,appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu,languages,genre,tags
0,760650,Hammerting,Warpzone Studios,Team17 Digital,,1363,845,0,"200,000 .. 500,000",659,310,327,310,2499,2499,0,53,"English, French, Italian, German, Spanish - Spain, Russian, Simplified Chinese, Japanese, Polish, Portuguese - Brazil","Adventure, Indie, RPG, Simulation, Strategy","{'Colony Sim': 587, 'Base-Building': 585, 'Simulation': 572, 'Management': 570, 'Automation': 567, 'Mining': 563, 'Building': 556, 'Economy': 553, 'Crafting': 551, 'Inventory Management': 545, 'Resource Management': 543, 'Strategy': 529, 'Fantasy': 518, 'Lore-Rich': 484, 'RPG': 446, 'Exploration': 433, 'Procedural Generation': 431, 'Singleplayer': 375, 'Mod': 343, '2.5D': 334}"
1,632300,Hobo: Tough Life,Perun Creative,Perun Creative,,5513,1125,0,"200,000 .. 500,000",960,50,612,75,1499,2999,50,680,"English, Czech, Simplified Chinese, German, Polish, Russian, French, Spanish - Spain, Japanese","Adventure, Indie, RPG, Simulation","{'Survival': 249, 'Open World': 230, 'Multiplayer': 209, 'RPG': 206, 'Base-Building': 202, 'First-Person': 192, 'Crafting': 191, 'Story Rich': 190, 'Sandbox': 173, 'Realistic': 171, 'Co-op': 167, 'Simulation': 163, '3D': 158, 'Online Co-Op': 153, 'Conversation': 149, 'Adventure': 146, 'Atmospheric': 141, 'Action': 141, 'Interactive Fiction': 122, 'Heist': 119}"
2,978270,Sam & Dan: Floaty Flatmates,Pelican Party Studios,Pelican Party Studios,,580,46,0,"200,000 .. 500,000",0,0,0,0,0,0,0,4,English,"Action, Adventure, Free to Play, Indie, Strategy","{'VR': 57, 'Multiplayer': 50, 'Free to Play': 49, 'Co-op': 44, 'Adventure': 42, 'Strategy': 40, 'Indie': 39, 'Action': 30, 'Comedy': 21, 'VR Only': 1}"
3,1485870,Evil Inside - Prologue,JanduSoft,JanduSoft,,525,219,0,"200,000 .. 500,000",0,0,0,0,0,0,0,6,"English, French, German, Spanish - Spain, Russian, Swedish, Dutch, Portuguese - Portugal, Portuguese - Brazil, Simplified Chinese, Japanese, Traditional Chinese, Turkish","Adventure, Free to Play, Indie","{'Horror': 242, 'Multiplayer': 218, 'Free to Play': 207, 'Adventure': 196, 'FPS': 159, 'Experimental': 158, 'Survival': 155, 'Survival Horror': 155, 'First-Person': 128, '3D': 128, 'Psychological Horror': 117, 'Realistic': 114, 'Atmospheric': 102, 'Story Rich': 89, 'Surreal': 71, 'Singleplayer': 66, 'Co-op': 60, 'Narration': 58, 'Indie': 50, 'Psychological': 33}"
4,2058180,Judgment,Ryu Ga Gotoku Studio,SEGA,,3867,158,0,"200,000 .. 500,000",1687,0,2498,0,3999,3999,0,468,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Simplified Chinese, Traditional Chinese","Action, Adventure","{'Action': 463, 'Adventure': 454, ""Beat 'em up"": 428, 'Action-Adventure': 426, '3D Fighter': 421, 'Cinematic': 393, 'Hack and Slash': 392, '3D': 389, 'Third Person': 373, 'Realistic': 372, 'Conspiracy': 357, 'Crime': 354, 'Detective': 339, 'Dark': 329, 'Drama': 310, 'Foreign': 283, 'Gambling': 279, 'Investigation': 271, 'Logic': 242, 'Martial Arts': 236}"
5,275200,Westerado: Double Barreled,Ostrich Banditos,Adult Swim Games,,1625,148,0,"200,000 .. 500,000",153,0,173,0,1499,1499,0,5,English,"Action, Adventure, Indie","{'Western': 123, 'Pixel Graphics': 103, 'Open World': 94, 'Adventure': 80, 'Indie': 80, 'Action': 76, 'Detective': 44, 'Local Co-Op': 41, 'Retro': 36, '2D': 35, 'Great Soundtrack': 30, 'Singleplayer': 30, 'RPG': 13, 'Shooter': 12, 'Funny': 12, 'Atmospheric': 10, 'Replay Value': 8}"
6,471010,Seven: Enhanced Edition,"IMGN.PRO, Fool's Theory",IMGN.PRO,,1197,350,0,"200,000 .. 500,000",845,0,695,0,2999,2999,0,5,"English, French, German, Polish, Russian, Spanish - Spain, Czech, Portuguese - Brazil, Italian, Simplified Chinese","Action, Adventure, Indie, RPG","{'Action RPG': 185, 'Cyberpunk': 179, 'Stealth': 177, 'Isometric': 173, 'Open World': 170, 'Singleplayer': 161, 'Indie': 160, 'RPG': 156, 'Post-apocalyptic': 126, 'Action': 121, 'Hack and Slash': 113, 'Adventure': 111, 'Top-Down': 92, 'Parkour': 89, 'Sci-fi': 86, 'Assassin': 84, 'Exploration': 80, 'Controller': 80, 'Action-Adventure': 78, 'Nudity': 76}"
7,863570,Super Seducer 2 - Advanced Seduction Tactics,RLR Training Inc,Crabby Team,,1286,261,0,"200,000 .. 500,000",346,0,342,0,1299,1299,0,13,"English, French, Italian, Russian, Simplified Chinese, Spanish - Spain, German, Portuguese - Brazil, Korean, Turkish","Adventure, Casual, RPG, Simulation, Strategy","{'Sexual Content': 297, 'Mature': 276, 'Simulation': 245, 'Memes': 237, 'FMV': 234, 'Adventure': 228, 'Dating Sim': 225, 'Funny': 218, 'Comedy': 217, 'Female Protagonist': 213, 'Singleplayer': 207, 'Education': 197, 'Illuminati': 193, 'Surreal': 178, 'Interactive Fiction': 139, 'Point & Click': 129, 'Immersive Sim': 122, 'Cinematic': 116, 'Realistic': 107, 'Choices Matter': 103}"
8,230070,The Age of Decadence,Iron Tower Studio,Iron Tower Studio,,2663,597,0,"200,000 .. 500,000",1637,0,2724,0,1299,1299,0,23,"English, Russian, Spanish - Spain, French","Indie, RPG","{'Turn-Based Combat': 327, 'Choices Matter': 323, 'Tactical RPG': 316, 'Difficult': 312, 'Turn-Based Tactics': 309, 'CRPG': 308, 'Turn-Based Strategy': 298, 'Turn-Based': 295, 'RPG': 294, 'Isometric': 245, 'Post-apocalyptic': 243, 'Rome': 236, 'Multiple Endings': 224, 'Nonlinear': 217, 'Open World': 203, 'Story Rich': 202, 'Dark Fantasy': 189, 'Fantasy': 175, 'Old School': 168, 'Tactical': 167}"
9,25830,Knights of Honor,Black Sea Studios Ltd,Paradox Interactive,,2002,162,0,"200,000 .. 500,000",996,0,769,0,999,999,0,46,English,Strategy,"{'Strategy': 109, 'Medieval': 68, 'Grand Strategy': 46, 'RTS': 40, 'Historical': 33, 'War': 31, 'Classic': 22, 'Singleplayer': 21, 'Great Soundtrack': 14, 'Multiplayer': 12, 'Simulation': 8, 'Real-Time': 7, 'Diplomacy': 5}"
